, Fuel Type, Transmission, Driving Range (km), Engine, Electric Motor, Peak Motor Performance, Battery, Turbo / SuperCharger, Drivetrain, Others, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Middle rear three-point seatbelt, Central Locking, Type of Instrument Cluster / Dashboard Display, Tyre Pressure Monitoring (TPMS), Parking Sensors, Tachometer, Unit / Display Size, Android / Apple Connectivity , Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, Air Conditioner, Heater, Front AC, Anti-glare Rear View Mirrors, 12V Power Outlets, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Electronic Stability Program (ESP), Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Split Rear Seat, Power Windows, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Headlights, Headlight Height Adjuster, Follow me home head Lights, Fog Lamps, Tail Light, Interiors, Interior Colour(s), Cup Holders, Pockets inside Door, Pockets in Front Seat-back, Body Coloured Bumpers, Warranty (Max Kilometres), Battery Warranty (Years), Battery Warranty (Max Kilometres),NAME, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Integrated Music System, Infotainment Display, Voice Command Support, GPS & Navigation, Vanity Mirrors on Sun Visors, Leather-wrapped Steering, Parking Assist, Push Button Start / Stop, Steering Adjustment, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Emission Standard, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Curb Weight (kgs), Anti theft Engine immobilizer, Flashing Emergency Brake Light , Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Clock, Headlights On Reminder, iPod Compatibility, MP3 Playback, Rear AC, Boot Access from the Last Row Seats, Head Rest for Middle Rear Seat, Brake Assist in Emergency (BA), Traction Control, Hill Hold Assist, Hill Descent Control, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Rear Wiper, Boot / Dikki Opener, Daytime Running Lights, Lights inside Cabin, Storage in Driver Armrest, Reading Lamp for Rear Passengers, Roof Mounted Antenna, Chrome Finish Exhaust pipe, Body Kit, Rub - Strips, Warranty (Years), Seat Adjustment, Cornering Headlights, Time for 0-100 kmph Acceleration , Cruise Control Driving Mode, Rain-sensing Wipers, Automatic Head Lights, Lights on Vanity Mirrors, Sunroof / Moonroof, Forward Collision Warning , Automatic Emergency Braking, Lane Departure Warning, Gear Shift Indicator, Remote Sunroof Open/Close Via app, Doot Sill Plates, Sunglass Holder, Wireless Charger, Cooled Glove Box, Ventilated Seats, Ventilated Seat Type, Ambient or soft Interior Lighting, Ground Clearance (mm), AC for Third Row, Adjustment Options - Third Row Seat, Third Row Seats Type, Split Third Row Seat, Battery Charging, NCAP Rating (Best - 5 Star), Third Row Cup Holders, 4x4 or All Wheel Drive, Differential Lock, Puddle Lights
19, Petrol, Manual - 6 Gears,," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,  48 Volt, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,, Rear, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable,No information, LED,No information,No information," Halogen,LED", LED, Single Tone, Black, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart EX MT,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,No information,No information, Metallic,No information,,,,,,,,,,,,,,,,
20, Petrol," Automatic (CVT) - CVT Gears, Manual Override",," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 60 R17, 215 / 60 R17, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,, Rear, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Silver, Body Coloured, Electrically Adjustable,No information, LED,No information,No information," Halogen,LED", LED, Single Tone, Black, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Shine 1.5 Turbo CVT,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,,No information,,No information,,,,,,,,,,,,,,,,
21, Petrol," Automatic (CVT) - CVT Gears, Manual Override",," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,, Rear, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable,No information, LED,No information,No information," Halogen,LED", LED, Single Tone, Black, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart 1.5 Turbo CVT,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,,No information, Metallic,No information,,,,,,,,,,,,,,,,
22, Petrol, Manual - 6 Gears,," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,  48 Volt, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 4 Airbags (Driver, Passenger, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,No information, Front & Rear, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,, Leatherette," 6 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down) + 2 way manually adjustable (headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, LED,No information,No information," LED,LED", LED, Dual Tone, Oak White & Balck, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart Pro 1.5 Turbo MT,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,No information,No information, Metallic,No information,No information,No information,,,,,,,,,,,,,,
23, Petrol," Automatic (CVT) - CVT Gears, Manual Override",," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,, Rear, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable,No information, LED,No information,No information," Halogen,LED", LED, Single Tone, Black, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart EX CVT,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,,No information, Metallic,No information,,,,,,,,,,,,,,,,
24, Diesel, Manual - 6 Gears,," 1956 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Semi Independent Helical Spring Torsion Beam, Alloy Wheels, 215 / 60 R17, 215 / 60 R17, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,, Rear, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full,, Front & Rear,No information, Body Coloured, Silver, Body Coloured, Electrically Adjustable,No information, LED,No information,No information," Halogen,LED", LED, Single Tone, Black, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Shine 2.0 Turbo Diesel MT,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 2.0L Turbocharged Diesel, 166 bhp @ 3750 rpm, 350 Nm @ 1750 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,No information,No information,,No information,,,,,,,,,,,,,,,,
25, Diesel, Manual - 6 Gears,," 1956 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Semi Independent Helical Spring Torsion Beam, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,, Rear, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable,No information, LED,No information,No information," Halogen,LED", LED, Single Tone, Black, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart 2.0 Turbo Diesel MT,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 2.0L Turbocharged Diesel, 166 bhp @ 3750 rpm, 350 Nm @ 1750 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,No information,No information, Metallic,No information,,,,,,,,,,,,,,,,
26, Petrol, Manual - 6 Gears,," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,  48 Volt, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Digital,No information, Front & Rear, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,No information, Leatherette," 6 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down) + 2 way manually adjustable (headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, LED,No information,No information," LED,LED", LED, Dual Tone, Oak White & Balck, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Sharp Pro 1.5 Turbo MT,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, 360 Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information, Electric Opening and Closing, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,No information,No information, Driver & Co-Driver, Panoramic Sunroof,,,,No information,No information, Metallic,No information,No information,No information, Front only, Cooled, Multi-colour,,,,,,,,,,,
27, Petrol, Manual - 6 Gears,," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,  48 Volt, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Digital,No information, Front & Rear, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,, Leatherette," 6 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down) + 2 way manually adjustable (headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, LED,No information,No information," LED,LED", LED, Dual Tone, Oak White & Balck, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Sharp Pro 1.5 Turbo MT Dual Tone,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, 360 Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information, Electric Opening and Closing, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,No information,No information, Driver & Co-Driver, Panoramic Sunroof,,,,No information,No information, Metallic,No information,No information,No information, Front only, Cooled, Multi-colour,,,,,,,,,,,
28, Diesel, Manual - 6 Gears,," 1956 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Semi Independent Helical Spring Torsion Beam, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 4 Airbags (Driver, Passenger, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Digital,No information, Front & Rear, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,No information, Leatherette," 6 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down) + 2 way manually adjustable (headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, LED,No information,No information," LED on front, LED on rear", LED, Dual Tone, Oak White & Balck, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart Pro 2.0 Turbo Diesel MT,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 2.0L Turbocharged Diesel, 166 bhp @ 3750 rpm, 350 Nm @ 1750 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,No information,No information, Metallic,No information,No information,No information,,,,,,,,,,,,,,
29, Diesel, Manual - 6 Gears,," 1956 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Semi Independent Helical Spring Torsion Beam, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 4 Airbags (Driver, Passenger, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Digital,No information, Front & Rear, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,No information, Leatherette," 6 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down) + 2 way manually adjustable (headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, LED,No information,No information," LED on front, LED on rear", LED, Dual Tone, Oak White & Balck, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Smart Pro 2.0 Turbo Diesel MT Dual Tone,No information,No information,No information,,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, Reverse Camera,No information, Tilt & Telescopic, Driver, All, 2.0L Turbocharged Diesel, 166 bhp @ 3750 rpm, 350 Nm @ 1750 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information,, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,,,, Panoramic Sunroof,,,,No information,No information, Metallic,No information,No information,No information,,,,,,,,,,,,,,
30, Petrol," Automatic (CVT) - CVT Gears, Manual Override",," 1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,,, Turbocharged, FWD,, Power assisted (Electric),, Mcpherson Strut + Coil Springs, Beam Assemble + Coil Spring, Alloy Wheels, 215 / 55 R18, 215 / 55 R18, Steel, 5, 4699, 1835, 1760, 2750, 2, 5," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Digital,No information, Front & Rear, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, 8,No information, Phone & Audio Streaming,No information,No information, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 1, Disc, Disc,No information,No information,No information, Leatherette," 6 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down) + 2 way manually adjustable (headrest up / down)"," 4 way electrically adjustable (seat forward / back, backrest tilt forward / back) + 2 way manually adjustable (headrest up / down)", Front & Rear,, Full,, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, LED,No information,No information," LED,LED", LED, Dual Tone, Oak White & Balck, Front & Rear, Front & Rear,No information,No information, Unlimited,,No information,MG Hector Sharp Pro 1.5 Turbo CVT,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information,No information, Driver & Co-Driver,No information, 360 Camera,No information, Tilt & Telescopic, Driver, All, 1.5 Turbocharged Intercooled Petrol, 141 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, BS6 Phase 2, 587, 60,,No information,,No information,No information,,No information, Electronic 2 Trips,No information,No information,No information,No information, Digital,No information,No information,No information,  Vents Behind Front Armrest,No information,No information,No information,No information,No information,," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder,No information, Electric Opening and Closing, LED, Front and Rear,No information,No information,No information,,No information, Chrome Inserts, 5, 4 Way, Passive,,No information,No information,No information, Driver & Co-Driver, Panoramic Sunroof,,,,,No information, Metallic,No information,No information,No information, Front only, Cooled, Multi-colour,,,,,,,,,,,
