, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Trip Meter, Low Fuel Warning, Parking Sensors, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Child Lock, Clock, Air Conditioner, Heater, Front AC, Power Windows, Pockets in Front Seat-back, Body Coloured Bumpers, Central Locking, Integrated Music System, Unit / Display Size, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, 12V Power Outlets, Roof Mounted Antenna, Rub - Strips, Infotainment Display, GPS & Navigation, Alternate Fuel, NCAP Rating (Best - 5 Star), Middle rear three-point seatbelt, Vanity Mirrors on Sun Visors, Electronic Stability Program (ESP), Speed Sensing Door Lock, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Door Not Closed Warning, Active Gear Display, Voice Command Support, Steering Mounted Controls, Gear Shift Indicator, Others, Body Kit, Hill Hold Assist, Third Row Seats Type, Anti-glare Rear View Mirrors, Split Rear Seat, Window Control: One Touch -Down, Steering Adjustment, Rear Wiper, Rear Glass Defogger, Turn Indicators on ORVM, Push Button Start / Stop, Fog Lamps, Anchor Points for Child Seat, Adjustable Cluster Brightness, CD Player, DVD Playback, Adjustment Options - Rear Row Seat, Seat Adjustment, Parking Assist, Daytime Running Lights, Puddle Lights, WIndow Control: One Touch - Up, Leather-wrapped Steering, Cruise Control Driving Mode, Automatic Head Lights, Follow me home head Lights, Rear AC, Armrest for Rear Seat, Reading Lamp for Rear Passengers, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Alexa Compatibility, Geo-Fence, Driver Armrest, Storage in Driver Armrest, Heads Up Display (HUD), Lights on Vanity Mirrors, Traction Control, Chrome Finish Exhaust pipe, Turbo / SuperCharger, Flashing Emergency Brake Light , Wireless Charger, Light inside Glove Box, Remote AC Control Via app, Sunglass Holder, Sunroof / Moonroof, Leather-wrapped Gear Knob, Ambient or soft Interior Lighting, Cooled Glove Box, Battery, Adjustment Options - Third Row Seat, Split Third Row Seat, Third Row Cup Holders, Blinds - Rear Windshield, Head Rest for Middle Rear Seat, 4x4 or All Wheel Drive, Hill Descent Control, Differential Lock, Electric Motor, Peak Motor Performance, Battery Warranty (Years), Tyre Pressure Monitoring (TPMS), Ventilated Seats, Ventilated Seat Type, Limited Slip Differential (LSD)
44, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Steel Rims, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 825, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Externally Adjustable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Black, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Sigma 1.2 MT,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,,No information, With Key,,,,,,,,,,No information,No information,,,,,,No information,,No information,No information,No information,No information,,No information,No information,No information,,,No information,,,No information,,,, Driver, Tilt,,,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Steel Rims, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 833, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Delta 1.2 MT,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information, 2 Din, 2,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Digital Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,,,No information,,,No information,No information,No information,No information, 2 way manually adjustable (headrest up / down), 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46, Petrol," AMT - 5 Gears, Manual Override",,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Steel Rims, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 841, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Delta 1.2 AMT,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information, 2 Din, 2,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Digital Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,,,No information,,,No information,No information,No information,No information, 2 way manually adjustable (headrest up / down), 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 849, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Zeta 1.2 MT,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,No information,No information, 2 way manually adjustable (headrest up / down), 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 849, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Zeta 1.2 MT Dual Tone,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,No information,No information, 2 way manually adjustable (headrest up / down), 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, Petrol," AMT - 5 Gears, Manual Override",,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 870, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Zeta 1.2 AMT,No information, Digital, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,,, 2 way manually adjustable (headrest up / down), 2 Way, Reverse Camera, LED,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 866, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Alpha 1.2 MT,No information, Digital, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,,, 2 way manually adjustable (headrest up / down), 2 Way, Reverse Camera, LED,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, Petrol," AMT - 5 Gears, Manual Override",,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 858, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Zeta 1.2 AMT Dual Tone,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,No information,No information, 2 way manually adjustable (headrest up / down), 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 866, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Alpha 1.2 MT Dual Tone,No information, Digital, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,,, 2 way manually adjustable (headrest up / down), 2 Way, Reverse Camera, LED,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53, Petrol," AMT - 5 Gears, Manual Override",,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 870, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Alpha 1.2 AMT,No information, Digital, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,,, 2 way manually adjustable (headrest up / down), 2 Way, Reverse Camera, LED,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54, Petrol," AMT - 5 Gears, Manual Override",,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L VVT, 82 bhp @ 6000 rpm, 113 Nm @ 4200 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7, McPherson Strut, Torsion Beam , Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 260, 32, 5, 3700, 1690, 1595, 2435, 180, 870, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, Halogen, Dual Tone, Black and White, Front, Front & Rear, Front & Rear, 2, 40000,No information,Maruti Suzuki Ignis Alpha 1.2 AMT Dual Tone,No information, Digital, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Keyless,No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,, Touch-screen Display,,,,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Cladding - Black/Grey,No information,, Manual - Internal Only, 60:40 split, Driver, Tilt,No information,No information,No information,No information, Halogen on front,No information,No information,,, 2 way manually adjustable (headrest up / down), 2 Way, Reverse Camera, LED,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L Dual Jet, 89 bhp @ 6000 rpm, 113 Nm @ 4400 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.8, MacPherson Strut, Torsion Beam, Steel Rims, 165 / 80 R14, 165 / 80 R14, Steel, 268, 37, 5, 3845, 1735, 1530, 2450,, 875, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Black, Black, Black, Internally Adjustable, Internal, Halogen,No information, LED, Single Tone, Black, Front, Front Only, Front & Rear, 2, 40000,No information,Maruti Suzuki Swift LXi,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control",,,No information,,,,,,,,,,,No information,No information,,,,, 2 Star (Global NCAP),No information,,No information,,No information,No information,,No information,No information,,,, Dynamic,,,,,,,, Tilt,,,,,,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56, Petrol, Manual - 5 Gears,,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L Dual Jet, 89 bhp @ 6000 rpm, 113 Nm @ 4400 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.8, MacPherson Strut, Torsion Beam, Steel Rims, 165 / 80 R14, 165 / 80 R14, Steel, 268, 37, 5, 3845, 1735, 1530, 2450,, 879, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Single Tone, Black, Front, Front Only, Front & Rear, 2, 40000,No information,Maruti Suzuki Swift VXi,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Remote,No information, 2 Din, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,,,,, 2 Star (Global NCAP),No information, Co-Driver Only,No information,No information,No information,No information,,No information,No information,,,No information, Dynamic,,,,, Manual - Internal Only,, Driver, Tilt,,,No information,,,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57, Petrol," AMT - 5 Gears, Manual Override",,," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2L Dual Jet, 89 bhp @ 6000 rpm, 113 Nm @ 4400 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.8, MacPherson Strut, Torsion Beam, Steel Rims, 165 / 80 R14, 165 / 80 R14, Steel, 268, 37, 5, 3845, 1735, 1530, 2450,, 882, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information, Analogue," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Single Tone, Black, Front, Front Only, Front & Rear, 2, 40000,No information,Maruti Suzuki Swift VXi AMT,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front & Rear,No information,No information, Remote,No information, 2 Din, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,,,,, 2 Star (Global NCAP),No information, Co-Driver Only,No information,No information,No information,No information,,No information,No information,No information,,No information,,,,No information,, Manual - Internal Only,, Driver, Tilt,,,No information,,,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
