, Fuel Type, Transmission, Top Speed, Time for 0-100 kmph Acceleration , 4x4 or All Wheel Drive, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, Airbags, Forward Collision Warning , Automatic Emergency Braking, High-beam Assist, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Lane Departure Warning, Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Parking Assist, Clock, Headlights On Reminder, Tachometer, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Integrated Music System, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, Wireless Charger, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, Internal Hard-disk, MP3 Playback, Push Button Start / Stop, Cruise Control Driving Mode, Steering Adjustment, Air Conditioner, Heater, Front AC, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Boot Access from the Last Row Seats, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Hill Descent Control, Limited Slip Differential (LSD), Braking Performance, Differential Lock, Ride Height Adjustment, Seat Upholstery, Ventilated Seats, Ventilated Seat Type, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Split Rear Seat, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Rain-sensing Wipers, Rear Wiper, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Blinds - Side Window, Blinds - Rear Windshield, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Cornering Headlights, Daytime Running Lights, Fog Lamps, Tail Light, Puddle Lights, Interiors, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Cooled Glove Box, Light inside Glove Box, Storage in Driver Armrest, Pockets inside Door, Pockets in Front Seat-back, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunglass Holder, Sunroof / Moonroof, Roof Mounted Antenna, Chrome Finish Exhaust pipe, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME
0, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 290, 4.4, Full-time, 7.6, 654," 3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 4.0L Twin-turbocharged V8, 542 bhp @ 6000 rpm, 770 Nm @ 2000 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 6, Air suspension with continuous damping control and 4 height settings, Air suspension with continuous damping control and 4 height settings, Alloy Wheels, 285 / 45 R21, 285 / 45 R21, Space Saver, 484, 85, 5, 5125, 2222, 1728, 2995, 180, 2415, 2, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Keyless, Digital,No information,No information,No information,No information, Multi-Function Display,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Analogue,No information, Digital,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Electric Tilt & Telescopic, Yes (Automatic Climate Control),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, 34.75, Electronic,No information, Leather, All, Heated and cooled," 16 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, lumbar up / down, lumbar forward / back, extended thigh support forward / back, shoulder support bolsters in / out)"," 16 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, lumbar up / down, lumbar forward / back, extended thigh support forward / back, shoulder support bolsters in / out)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Full, 60:40 split, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Rear - Electric, Electric, Illuminated, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,No information, Active, LED," LED on front, Halogen on rear", LED,No information, Dual Tone,No information,No information," Beluga, Cricket Ball, Imperial Blue, Newmarket Tan, Porpoise", Front and Rear, Optional, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Panoramic Sunroof,No information,No information,No information, 3, Unlimited,No information, 2 Way,Bentley Bentayga V8 Petrol
1, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 290, 4.6, Full-time, 7.6, 654," 3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 4.0L Twin-turbocharged V8, 542 bhp @ 6000 rpm, 770 Nm @ 2000 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 6, Air suspension with continuous damping control and 4 height settings, Air suspension with continuous damping control and 4 height settings, Alloy Wheels, 285 / 45 R21, 285 / 45 R21, Space Saver, 484, 85, 5, 5305, 2222, 1739, 3175, 180, 2415, 2, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Keyless, Digital,No information,No information,No information,No information, Multi-Function Display,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Analogue,No information, Digital,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Electric Tilt & Telescopic, Yes (Automatic Climate Control),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, 34.75, Electronic,No information, Leather, All, Heated and cooled," 16 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, lumbar up / down, lumbar forward / back, extended thigh support forward / back, shoulder support bolsters in / out)"," 16 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, lumbar up / down, lumbar forward / back, extended thigh support forward / back, shoulder support bolsters in / out)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Full, 60:40 split, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Rear - Electric, Electric, Illuminated, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,No information, Active, LED," LED on front, Halogen on rear", LED,No information, Dual Tone,No information,No information," Beluga, Cricket Ball, Imperial Blue, Newmarket Tan, Porpoise", Front and Rear, Optional, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Panoramic Sunroof,No information,No information,No information, 3, Unlimited,No information, 2 Way,Bentley Bentayga EWB
