, Fuel Type, Transmission, Time for 0-100 kmph Acceleration , Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Parking Assist, Clock, Headlights On Reminder, Tachometer, Integrated Music System, Infotainment Display, Gesture Control Support, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, Internal Hard-disk, MP3 Playback, Push Button Start / Stop, Cruise Control Driving Mode, Steering Adjustment, Air Conditioner, Heater, Front AC, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Boot Access from the Last Row Seats, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Differential Lock, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Split Rear Seat, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Rain-sensing Wipers, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Cornering Headlights, Daytime Running Lights, Fog Lamps, Tail Light, Interiors, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Storage in Driver Armrest, Pockets inside Door, Pockets in Front Seat-back, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunroof / Moonroof, Roof Mounted Antenna, Chrome Finish Exhaust pipe, Body Coloured Bumpers, Body Kit, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Top Speed, Forward Collision Warning , Lane Departure Warning, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Wireless Charger, Rear Wiper, Heads Up Display (HUD), Remote Sunroof Open/Close Via app, Limited Slip Differential (LSD), High-beam Assist, Blinds - Side Window, Blinds - Rear Windshield, Light inside Glove Box, Cooled Glove Box, 4x4 or All Wheel Drive, Hill Descent Control, Braking Performance, Puddle Lights, Display for Rear Passengers, CD Player, DVD Playback, Electric Motor, Peak Motor Performance, Battery, Automatic Emergency Braking, Puncture Repair Kit, Sunglass Holder, Battery Warranty (Years), Seat Base Sliding, Ride Height Adjustment, Unit / Display Size, AC for Third Row, Ventilated Seats, Ventilated Seat Type, Third Row Seats Type, Split Third Row Seat, Third Row Cup Holders, Battery Charging, Rub - Strips, Four Wheel Steering, Alternate Fuel, Alexa Compatibility
0, Petrol," Automatic (TC) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 7.1, 14.82, 741," 1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L Twin power turbo, 189 bhp @ 5000 rpm, 280 Nm @ 1350 rpm, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 5.7, Single-joint Spring Strut Axle, Multi-link Axle with Separate Spring and Damper, Alloy Wheels, 225 / 45 R17, 225 / 45 R17, Alloy, 430, 50, 5, 4526, 1800, 1420, 2670, 152, 1505, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera with Guidance, Digital,No information, Digital,No information, Touch-screen Display,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest", Driver & Co-Driver, Electronic - Internal Only,No information,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 8 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Partial, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable,No information, Electric Tailgate Release, LED,No information,No information,No information, Intelligent, LED, LED, LED, Dual Tone,No information,No information," Oyster / Black , Black", Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,No information, Panoramic Sunroof,No information,No information,No information,No information, 3, Unlimited,No information, 2 Way,BMW 2 Series Gran Coupe 220i M Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol," Automatic (TC) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 7.1, 14.82, 741," 1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L Twin power turbo, 189 bhp @ 5000 rpm, 280 Nm @ 1350 rpm, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 5.7, Single-joint Spring Strut Axle, Multi-link Axle with Separate Spring and Damper, Alloy Wheels, 225 / 45 R17, 225 / 45 R17, Alloy, 430, 50, 5, 4526, 1800, 1420, 2670, 152, 1505, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera with Guidance, Digital,No information, Digital,No information, Touch-screen Display,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest", Driver & Co-Driver, Electronic - Internal Only,No information,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 8 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Partial, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable,No information, Electric Tailgate Release, LED,No information,No information,No information, Intelligent, LED, LED, LED, Dual Tone,No information,No information," Oyster / Black , Black", Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,No information, Panoramic Sunroof,No information,No information,No information,No information, 3, Unlimited,No information, 2 Way,BMW 2 Series Gran Coupe 220i M Sport Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Diesel," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 7.5, 18.64, 932," 1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L B47D20 Turbocharged I4, 188 bhp @ 4000 rpm, 400 Nm @ 1750 rpm, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 5.7, Single-joint Spring Strut Axle, Multi-link Axle with Separate Spring and Damper, Alloy Wheels, 225 / 40 R18, 225 / 40 R18, Alloy, 430, 50, 5, 4526, 1800, 1420, 2670, 152, 1505, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera with Guidance, Digital,No information, Digital,No information, Touch-screen Display,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest", Driver & Co-Driver, Electronic - Internal Only,No information,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 8 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Partial, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable,No information, Electric Tailgate Release, LED,No information,No information,No information, Intelligent, LED, LED, LED, Dual Tone,No information,No information," Oyster / Black , Black", Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,No information, Panoramic Sunroof,No information,No information,No information,No information, 3, Unlimited,No information, 2 Way,BMW 2 Series Gran Coupe 220d M Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",, 16.35, 834," 1499 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", TwinPower Turbo 3-Cylinder engine, 134 bhp @ 4400 rpm, 230 Nm @ 1500 rpm, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 5.8, Single-joint Spring-strut Axle, Multi-arm Axle with Separate Spring and Damper, Alloy Wheels, 225 / 55 R18, 225 / 55 R18, Space Saver, 476, 51, 5, 4500, 1845, 1630, 2692, 183, 1560, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Digital,No information, Touch-screen Display,,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 6,No information, Phone & Audio Streaming,No information,No information,No information,,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest", Driver & Co-Driver, Electronic - All,No information,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 8 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,, Intelligent, LED, LED, LED, Dual Tone,No information,No information, Mesheffect/Pearl Chrome, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,, Panoramic Sunroof,No information,No information,No information, Cladding - Black/Grey, 3, 40000,No information, 4 Way,BMW X1 sDrive18i xLine, 9.2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Diesel," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",,,," 1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", TwinPower Turbo 4-Cylinder engine, 147 bhp @ 3750 rpm, 360 Nm @ 1500 rpm, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 5.8, Single-joint Spring-strut Axle, Multi-arm Axle with Separate Spring and Damper, Alloy Wheels, 225 / 55 R18, 225 / 55 R18, Space Saver, 476, 51, 5, 4500, 1845, 1630, 2692, 183, 1560, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Digital,No information, Touch-screen Display,,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 12,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest", Driver & Co-Driver, Electronic - All,No information,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 14 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 14 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,, Intelligent, LED, LED, LED, Dual Tone,No information,No information, Black/Pearl Chrome, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,, Panoramic Sunroof,No information,No information,No information, Cladding - Black/Grey, 3, 40000,No information, 4 Way,BMW X1 sDrive18d M Sport,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",, 16.35, 834," 1499 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", TwinPower Turbo 3-Cylinder engine, 134 bhp @ 4400 rpm, 230 Nm @ 1500 rpm, Turbocharged, FWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 5.8, Single-joint Spring-strut Axle, Multi-arm Axle with Separate Spring and Damper, Alloy Wheels, 225 / 55 R18, 225 / 55 R18, Space Saver, 476, 51, 5, 4500, 1845, 1630, 2692, 183, 1560, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Digital,No information, Touch-screen Display,,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information, 12,No information, Phone & Audio Streaming,No information,No information,No information,,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest", Driver & Co-Driver, Electronic - All,No information,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 14 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 14 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,, Intelligent, LED, LED, LED, Dual Tone,No information,No information, Mesheffect/Pearl Chrome, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,, Panoramic Sunroof,No information,No information,No information, Cladding - Black/Grey, 3, 40000,No information, 4 Way,BMW X1 sDrive18i M Sport, 9.2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 6.2, 15.39, 908," 1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", B48 Turbocharged I4, 255 bhp @ 5000 rpm, 400 Nm @ 1550 rpm, Turbocharged, RWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 6," Double-joint spring-strut axle in lightweight aluminium-steel construction, hydraulically damped torque strut bearingsconstruction ", Five-link axle in lightweight aluminium-steel construction , Alloy Wheels, 225 / 45 R18, 255 / 40 R18, Space Saver, 480, 59, 5, 4819, 1827, 1441, 2961, 135,, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Digital,No information, Touch-screen Display,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,No information, 16,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Three Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - Internal & Driver Door, 2,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,No information, Active, LED, LED, LED, Dual Tone,No information,, Fine-wood trim ash Grey-Brown, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information,, 3, 40000,No information, 2 Way,BMW 3 Series Gran Limousine 330Li M Sport,,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Diesel," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 7.6, 19.61, 1157," 1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", B47 Turbocharged I4, 188 bhp @ 4000 rpm, 400 Nm @ 1750 rpm, Turbocharged, RWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 6," Double-joint spring-strut axle in lightweight aluminium-steel construction, hydraulically damped torque strut bearingsconstruction ", Five-link axle in lightweight aluminium-steel construction , Alloy Wheels, 225 / 45 R18, 225 / 40 R18, Space Saver, 480, 59, 5, 4819, 1827, 1441, 2961, 135,, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Digital,No information, Touch-screen Display,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,No information, 16,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Three Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - Internal & Driver Door, 2,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)"," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down, backrest bolsters in / out) + 4 way manually adjustable (headrest up / down, extended thigh support forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,No information, Active, LED, LED, LED, Dual Tone,No information,, Fine-wood trim ash Grey-Brown, Front and Rear,No information, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information,, 3, 40000,No information, 2 Way,BMW 3 Series Gran Limousine 320Ld M Sport,,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",,,," 1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L B48 Turbocharged I4, 252 bhp @ 5200 rpm, 350 Nm @ 1450 rpm, Turbocharged, RWD," Regenerative Braking, Idle Start/Stop", BS6 Phase 2, Power assisted (Electric), 6.03, Double Track Control Arm Axle, Five-link Axle, Alloy Wheels, 245 / 45 R18, 275 / 40 R18, Space Saver, 530, 68, 5, 4963, 1868, 1467, 2975,,, 2, 4, 5 Star (Euro NCAP)," 7 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Digital,No information, Touch-screen Display,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information,No information, Electric Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest and on Pillars, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - Internal & Driver Door, 3,,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leatherette," 16 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, lumbar up / down, lumbar forward / back, seat base bolsters in / out, shoulder support bolsters in / out) + 2 way manually adjustable (extended thigh support forward / back)"," 16 way electrically adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, lumbar up / down, lumbar forward / back, backrest bolsters in / out, seat base bolsters in / out) + 2 way manually adjustable (extended thigh support forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench,,, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Illuminated, Dual Tone, Electrically Adjustable & Retractable,No information, Foot Trigger Opening/Automatic, LED,No information,No information,No information, Intelligent, LED, LED, LED, Dual Tone,No information,," Canberra Beige / Black, Cognac / Black, Black with Aluminium Rhombicle Smoke Grey and  Pearl Chrome Trim", Front and Rear, Multi-colour, Front & Rear,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information,No information, 3, Unlimited,No information, 2 Way,BMW 5 Series 530i M Sport,,,,,,,,,,,,No information,,,,,No information, Rear - Manual, Electric,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
