, Fuel Type, Transmission, Top Speed, Time for 0-100 kmph Acceleration , 4x4 or All Wheel Drive, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Automatic Emergency Braking, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Lane Departure Warning, Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Parking Assist, Clock, Headlights On Reminder, Tachometer, Integrated Music System, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, Wireless Charger, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Cruise Control Driving Mode, Steering Adjustment, Air Conditioner, Heater, Front AC, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Boot Access from the Last Row Seats, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Hill Descent Control, Limited Slip Differential (LSD), Differential Lock, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Split Rear Seat, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Rain-sensing Wipers, Rear Wiper, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Blinds - Side Window, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Daytime Running Lights, Fog Lamps, Tail Light, Puddle Lights, Interiors, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Cooled Glove Box, Light inside Glove Box, Storage in Driver Armrest, Pockets inside Door, Pockets in Front Seat-back, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunroof / Moonroof, Chrome Finish Exhaust pipe, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Ground Clearance (mm), Forward Collision Warning , High-beam Assist, Heads Up Display (HUD), Unit / Display Size, CD Player, Ride Height Adjustment, Ventilated Seats, Ventilated Seat Type, Blinds - Rear Windshield, Sunglass Holder, Body Kit, Peak Engine Performance, Electric Motor, Peak Motor Performance, Battery, Puncture Repair Kit, Internal Hard-disk, DVD Playback, Cornering Headlights, Four Wheel Steering, Battery Charging, Push Button Start / Stop, Battery Warranty (Years), Performance on Alternate Fuel, Roof Mounted Antenna, Seat Base Sliding, Alternate Fuel
13, Petrol," Automatic (DCT) - 7 Gears, Sport Mode", 293, 4.5,, 10.4, 666," 3995 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 394 bhp @ 7000 rpm, 420 Nm @ 5000 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7, Independent Adjustable Sports Suspension with Variable Damping System, Independent Adjustable Sports Suspension with Variable Damping System, Alloy Wheels, 235 / 35 R20, 265 / 35 R20,, 270, 64, 2, 4391, 1801, 1262, 2475, 1405, 1, 2,," 2 Airbags (Driver, Front Passenger)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information,,, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather+Race-Tex," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,No information, Body Coloured, Chrome,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Single Tone,No information,No information, Black , Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Cayman GTS 4.0,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
14, Petrol," Automatic (DCT) - 7 Gears, Sport Mode", 293, 4.5,, 10.4, 633," 3995 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 394 bhp @ 7000 rpm, 420 Nm @ 5000 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7, Independent Adjustable Sports Suspension with Variable Damping System, Independent Adjustable Sports Suspension with Variable Damping System, Alloy Wheels, 235 / 35 R20, 265 / 35 R20,, 270, 64, 2, 4391, 1801, 1262, 2475, 1405, 1, 2,," 2 Airbags (Driver, Front Passenger)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information,,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather+Race-Tex," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,No information, Body Coloured, Chrome,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Single Tone,No information,No information, Black , Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Boxster GTS 4.0,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
15, Petrol," Manual - 6 Gears, Sport Mode", 301, 4.4,, 9.1, 587," 3995 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 414 bhp @ 7600 rpm, 420 Nm @ 5000 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7,  Independent Sports Suspension with Variable Damping System,  Independent Sports Suspension with Variable Damping System, Alloy Wheels, 245 / 35 R20, 295 / 30 R20,, 120, 64, 2, 4430, 1801, 1258, 2484, 1420, 1, 2,," 6 Airbags (Driver, Front Passenger, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,," Android Auto (No), Apple Car Play (No)",No information,,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather + Alcantara," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,, Body Coloured, Fabric Door pulls,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Single Tone,No information,No information, Black , Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Spyder,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
16, Petrol," Automatic (DCT) - 7 Gears, Sport Mode", 300, 3.9,, 9.8, 587," 3995 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 414 bhp @ 7600 rpm, 430 Nm @ 5500 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7,  Independent Sports Suspension with Variable Damping System,  Independent Sports Suspension with Variable Damping System, Alloy Wheels, 245 / 35 R20, 295 / 30 R20,, 120, 64, 2, 4430, 1801, 1258, 2484, 1450, 1, 2,," 6 Airbags (Driver, Front Passenger, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,," Android Auto (No), Apple Car Play (No)",No information,,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather + Alcantara," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,, Body Coloured, Fabric Door pulls,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Single Tone,No information,No information, Black , Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Spyder PDK,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
17, Petrol," Manual - 6 Gears, Sport Mode", 304, 4.4,, 9.1, 587," 3995 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 414 bhp @ 7600 rpm, 420 Nm @ 5000 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7, Independent Adjustable Sports Suspension with Variable Damping System, Independent Adjustable Sports Suspension with Variable Damping System, Alloy Wheels, 245 / 35 R20, 295 / 30 R20,, 270, 64, 2, 4456, 1801, 1269, 2484, 1420, 1, 2,," 6 Airbags (Driver, Front Passenger, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,," Android Auto (No), Apple Car Play (No)",No information,,, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather + Alcantara," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,No information, Body Coloured, Fabric Door pulls,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Single Tone,No information,No information, Black , Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Cayman GT4,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
18, Petrol," Automatic (DCT) - 7 Gears, Sport Mode", 302, 3.9,, 9.8, 587," 3995 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 414 bhp @ 7600 rpm, 430 Nm @ 5500 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7, Independent Adjustable Sports Suspension with Variable Damping System, Independent Adjustable Sports Suspension with Variable Damping System, Alloy Wheels, 245 / 35 R20, 295 / 30 R20,, 270, 64, 2, 4456, 1801, 1269, 2484, 1450, 1, 2,," 6 Airbags (Driver, Front Passenger, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,," Android Auto (No), Apple Car Play (No)",No information,,, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather + Alcantara," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,No information, Body Coloured, Fabric Door pulls,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Single Tone,No information,No information, Black , Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Cayman GT4 PDK,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
19, Petrol," Automatic (DCT) - 7 Gears, Sport Mode", 315, 4.4,, 7.5, 480," 3996 cc, 6 Cylinders Flat, 6 Valves/Cylinder, DOHC", MDG Flat-6, 493 bhp @ 7600 rpm, 450 Nm @ 9000 rpm,, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.7, Independent Adjustable Sports Suspension with Variable Damping System, Independent Adjustable Sports Suspension with Variable Damping System, Alloy Wheels, 245 / 35 R20, 295 / 30 R20,, 270, 64, 2, 4456, 1801, 1269, 2484, 1415, 1, 2,," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information,, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information,,, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,No information, Driven Axle, Leather+Race-Tex, 2 way electrically adjustable (seat height up / down) + 2 way manually adjustable (seat forward / back), 2 way electrically adjustable (seat height up / down) + 2 way manually adjustable (seat forward / back),,No information,, Front,,,, Front Only, All, All,No information,,No information, Body Coloured, Fabric Door pulls,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,No information, Dual Tone,No information,No information, Black/Arctic Grey	, Front,, Front Only,,No information,No information, Front,,,,,,No information, 3, 60000,No information,,Porsche 718 Cayman GT4 RS,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
20, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 243, 6, Torque-On-Demand, 10.7, 806," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0 L Turbocharged V6, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric),, Multi-link Suspension With Air Springs, Multi-link Suspension With Air Springs, Alloy Wheels, 275 / 45 R20, 305 / 40 R20,, 625, 75, 4, 4931, 1983, 1676, 2895, 2030, 2, 5, 5 Star (Euro NCAP)," 10 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Optional, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All, 3,No information,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,, Electronic, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Partial,No information, Front & Rear, All, All,No information,,No information, Body Coloured, Silver, Rear - Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front & Rear,,No information,No information,,, Driver & Co-Driver,No information, Fixed,No information,No information, 3, 60000, Not Applicable	, 2 Way,Porsche Cayenne Coupe Base, 190,No information,,No information, Not Applicable,,No information,,,,, Cladding - Black/Grey,,,,,,,,,,,,,,,,
21, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",, 6, Torque-On-Demand, 10.7, 806," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0 L Turbocharged V6, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric),, Multi-link Suspension With Air Springs, Multi-link Suspension With Air Springs, Alloy Wheels, 285 / 40 R21, 315 / 35 R21,, 625, 75, 4, 4931, 1983, 1676, 2895, 2030, 2, 5, 5 Star (Euro NCAP)," 10 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Optional, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All, 3,No information,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,, Electronic, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Partial,No information, Front & Rear, All, All,No information,,No information, Body Coloured, Silver, Rear - Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front & Rear,,No information,No information,,, Driver & Co-Driver,No information, Fixed,No information,No information, 3, 60000, Not Applicable	, 2 Way,Porsche Cayenne Coupe Platinum Edition,,No information,,No information, Not Applicable,,No information,,,,, Cladding - Black/Grey,,,,,,,,,,,,,,,,
22, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 270, 4.5, Torque-On-Demand, 8.9, 804," 3996 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 	4.0 L Twin-turbocharged V8, 453 bhp @ 6000 rpm, 620 Nm @ 1800 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric),, Multi-link Suspension With Air Springs, Multi-link Suspension With Air Springs, Alloy Wheels, 285 / 40 R21, 315 / 35 R21,, 525, 90, 4, 4939, 1995, 1656, 2895, 2175, 2, 5, 5 Star (Euro NCAP)," 10 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Optional, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All, 3,No information,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,, Electronic, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Partial,No information, Front & Rear, All, All,No information,,No information, Body Coloured, Silver, Rear - Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front & Rear,,No information,No information,,, Driver & Co-Driver,No information, Fixed,No information,No information, 3, 60000, Not Applicable	, 2 Way,Porsche Cayenne Coupe GTS Coupe,,No information,No information,No information, Not Applicable,,No information,,,,, Cladding - Black/Grey,,,,,,,,,,,,,,,,
23, Hybrid (Electric + Petrol)," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 253, 5.1, Torque-On-Demand, 41.6, 3125," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0 L Turbocharged V6 + Electric Motor, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD," Regenerative Braking, Idle Start/Stop, Pure Electric Driving Mode", BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 285 / 40 R21, 315 / 35 R21, Alloy, 645, 75, 5, 4931, 1983, 1676, 2895, 2295, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,, Centre, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)",,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 3, 60000, Not Applicable,,Porsche Cayenne Coupe E-Hybrid Platinum Edition, 210,No information,No information,No information, Not Applicable,No information,No information, All, Heated and cooled, Electric,No information,No information," 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm", 1 Permanent magnet synchronous Placed At Integrated with Transmission," 134 bhp @ 2800 rpm, 400 Nm"," 17.9 kWh, Lithium Ion,Battery Placed In Boot",,,,,,,,,,,,
